,Number,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,Egg_Group_2,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style,species,Pr_Female,BMI,region
104,105,Marowak,Ground,None,425,60,80,110,50,80,45,1,False,Brown,True,0.5,Monster,None,False,0.99,45.0,75,bipedal_tailed,Bone Keeper,0.5,45.9136822773,Kanto
105,106,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,1,False,Brown,True,1.0,Human-Like,None,False,1.5,49.8,45,bipedal_tailless,Kicking,0.0,22.1333333333,Kanto
106,107,Hitmonchan,Fighting,None,455,50,105,79,35,110,76,1,False,Brown,True,1.0,Human-Like,None,False,1.4,50.2,45,bipedal_tailless,Punching,0.0,25.612244898,Kanto
107,108,Lickitung,Normal,None,385,90,55,75,60,75,30,1,False,Pink,True,0.5,Monster,None,False,1.19,65.5,45,bipedal_tailed,Licking,0.5,46.2537956359,Kanto
108,109,Koffing,Poison,None,340,40,65,95,60,45,35,1,False,Purple,True,0.5,Amorphous,None,False,0.61,1.0,190,head_only,Poison Gas,0.5,2.68744961032,Kanto
109,110,Weezing,Poison,None,490,65,90,120,85,70,60,1,False,Purple,True,0.5,Amorphous,None,False,1.19,9.5,60,multiple_bodies,Poison Gas,0.5,6.70856577925,Kanto
110,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,Grey,True,0.5,Monster,Field,False,0.99,115.0,120,quadruped,Spikes,0.5,117.33496582,Kanto
111,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,Grey,True,0.5,Monster,Field,False,1.91,120.0,60,bipedal_tailed,Drill,0.5,32.8938351471,Kanto
112,113,Chansey,Normal,None,450,250,5,5,35,105,50,1,False,Pink,True,0.0,Fairy,None,False,1.09,34.6,30,bipedal_tailed,Egg,1.0,29.122127767,Kanto
113,114,Tangela,Grass,None,435,65,55,115,100,40,60,1,False,Blue,True,0.5,Grass,None,False,0.99,35.0,45,head_legs,Vine,0.5,35.7106417712,Kanto
114,115,Kangaskhan,Normal,None,490,105,95,80,40,80,90,1,False,Brown,True,0.0,Monster,None,True,2.21,80.0,45,bipedal_tailed,Parent,1.0,16.3796810057,Kanto
115,116,Horsea,Water,None,295,30,40,70,70,25,60,1,False,Blue,True,0.5,Water_1,Dragon,False,0.41,8.0,225,head_base,Dragon,0.5,47.5907198096,Kanto
116,117,Seadra,Water,None,440,55,65,95,95,45,85,1,False,Blue,True,0.5,Water_1,Dragon,False,1.19,25.0,75,head_base,Dragon,0.5,17.6541204717,Kanto
117,118,Goldeen,Water,None,320,45,67,60,35,50,63,1,False,Red,True,0.5,Water_2,None,False,0.61,15.0,225,with_fins,Goldfish,0.5,40.3117441548,Kanto
118,119,Seaking,Water,None,450,80,92,65,65,80,68,1,False,Red,True,0.5,Water_2,None,False,1.3,39.0,60,with_fins,Goldfish,0.5,23.0769230769,Kanto
119,120,Staryu,Water,None,340,30,45,55,70,55,85,1,False,Brown,False,0.0,Water_3,None,False,0.79,34.5,225,head_base,Star Shape,0.0,55.2796026278,Kanto
120,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,Purple,False,0.0,Water_3,None,False,1.09,80.0,60,head_base,Mysterious,0.0,67.3343994613,Kanto
121,122,Mr._Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,Pink,True,0.5,Human-Like,None,False,1.3,54.5,45,bipedal_tailless,Barrier,0.5,32.2485207101,Kanto
122,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,Green,True,0.5,Bug,None,False,1.5,56.0,45,four_wings,Mantis,0.5,24.8888888889,Kanto
123,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,Red,True,0.0,Human-Like,None,False,1.4,40.6,45,bipedal_tailless,Human Shape,1.0,20.7142857143,Kanto
124,125,Electabuzz,Electric,None,490,65,83,57,95,85,105,1,False,Yellow,True,0.75,Human-Like,None,False,1.09,30.0,45,bipedal_tailed,Electric,0.25,25.250399798,Kanto
125,126,Magmar,Fire,None,495,65,95,57,100,85,93,1,False,Red,True,0.75,Human-Like,None,False,1.3,44.5,45,bipedal_tailed,Spitfire,0.25,26.3313609467,Kanto
126,127,Pinsir,Bug,None,500,65,125,100,55,70,85,1,False,Brown,True,0.5,Bug,None,True,1.5,55.0,45,bipedal_tailless,Stag Beetle,0.5,24.4444444444,Kanto
127,128,Tauros,Normal,None,490,75,100,95,40,70,110,1,False,Brown,True,1.0,Field,None,False,1.4,88.4,45,quadruped,Wild Bull,0.0,45.1020408163,Kanto
128,129,Magikarp,Water,None,200,20,10,55,15,20,80,1,False,Red,True,0.5,Water_2,Dragon,False,0.89,10.0,255,with_fins,Fish,0.5,12.6246686024,Kanto
129,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,Blue,True,0.5,Water_2,Dragon,True,6.5,235.0,45,serpentine_body,Atrocious,0.5,5.56213017751,Kanto
130,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,Blue,True,0.5,Monster,Water_1,False,2.49,220.0,45,with_fins,Transport,0.5,35.4832986565,Kanto
131,132,Ditto,Normal,None,288,48,48,48,48,48,48,1,False,Purple,False,0.0,Ditto,None,False,0.3,4.0,35,head_only,Transform,0.0,44.4444444444,Kanto
132,133,Eevee,Normal,None,325,55,55,50,45,65,55,1,False,Brown,True,0.875,Field,None,False,0.3,6.5,45,quadruped,Evolution,0.125,72.2222222222,Kanto
133,134,Vaporeon,Water,None,525,130,65,60,110,95,65,1,False,Blue,True,0.875,Field,None,False,0.99,29.0,45,quadruped,Bubble Jet,0.125,29.5888174676,Kanto
134,135,Jolteon,Electric,None,525,65,65,60,110,95,130,1,False,Yellow,True,0.875,Field,None,False,0.79,24.5,45,quadruped,Lightning,0.125,39.2565294023,Kanto
135,136,Flareon,Fire,None,525,65,130,60,95,110,65,1,False,Red,True,0.875,Field,None,False,0.89,25.0,45,quadruped,Flame,0.125,31.5616715061,Kanto
136,137,Porygon,Normal,None,395,65,60,70,85,75,40,1,False,Pink,False,0.0,Mineral,None,False,0.79,36.5,45,head_legs,Virtual,0.0,58.4842172729,Kanto
137,138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,Blue,True,0.875,Water_1,Water_3,False,0.41,7.5,45,several_limbs,Spiral,0.125,44.6162998215,Kanto
138,139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,Blue,True,0.875,Water_1,Water_3,False,0.99,35.0,45,several_limbs,Spiral,0.125,35.7106417712,Kanto
139,140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,Brown,True,0.875,Water_1,Water_3,False,0.51,11.5,45,insectoid,Shellfish,0.125,44.2137639369,Kanto
140,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,Brown,True,0.875,Water_1,Water_3,False,1.3,40.5,45,bipedal_tailed,Shellfish,0.125,23.9644970414,Kanto
141,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,Purple,True,0.875,Flying,None,True,1.8,59.0,45,two_wings,Fossil,0.125,18.2098765432,Kanto
142,143,Snorlax,Normal,None,540,160,110,65,65,110,30,1,False,Black,True,0.875,Monster,None,False,2.11,460.0,25,bipedal_tailless,Sleeping,0.125,103.322027807,Kanto
143,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,Blue,False,0.0,Undiscovered,None,False,1.7,55.4,3,two_wings,Freeze,0.0,19.169550173,Kanto
144,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,Yellow,False,0.0,Undiscovered,None,False,1.6,52.6,3,two_wings,Electric,0.0,20.546875,Kanto
145,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,Yellow,False,0.0,Undiscovered,None,False,2.01,60.0,3,two_wings,Flame,0.0,14.8511175466,Kanto
146,147,Dratini,Dragon,None,300,41,64,45,50,50,50,1,False,Blue,True,0.5,Water_1,Dragon,False,1.8,3.3,45,serpentine_body,Dragon,0.5,1.01851851852,Kanto
147,148,Dragonair,Dragon,None,420,61,84,65,70,70,70,1,False,Blue,True,0.5,Water_1,Dragon,False,3.99,16.5,45,serpentine_body,Dragon,0.5,1.03642565059,Kanto
148,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,Brown,True,0.5,Water_1,Dragon,False,2.21,210.0,45,bipedal_tailed,Dragon,0.5,42.99666264,Kanto
149,150,Mewtwo,Psychic,None,680,106,110,90,154,90,130,1,True,Purple,False,0.0,Undiscovered,None,True,2.01,122.0,3,bipedal_tailed,Genetic,0.0,30.1972723447,Kanto
